PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Joel Embiid,PHI,24,18,11,7,628,498,157,342,45.9,26,79,32.9,158,194,81.4,39,193,232,68,53,7,39,64,963.4,16,1,73
Kevin Durant,GSW,30,18,12,6,626,490,172,341,50.4,22,68,32.4,124,134,92.5,6,123,129,109,52,17,15,32,852.3,5,1,117
LeBron James,LAL,33,16,9,7,555,460,166,319,52.0,38,96,39.6,90,120,75.0,16,107,123,111,51,23,14,28,834.1,8,1,10
Kemba Walker,CHA,28,15,7,8,526,430,147,321,45.8,58,154,37.7,78,91,85.7,5,62,67,92,36,17,5,20,678.4,0,0,58
Damian Lillard,POR,28,16,11,5,553,425,137,311,44.1,42,120,35.0,109,118,92.4,15,70,85,97,36,11,5,24,684.5,2,0,100
Zach LaVine,CHI,23,16,4,12,575,404,137,317,43.2,30,96,31.3,100,116,86.2,6,81,87,64,64,19,10,38,627.4,1,0,-125
Klay Thompson,GSW,28,18,12,6,614,385,155,346,44.8,44,137,32.1,31,39,79.5,8,55,63,33,35,18,11,38,562.1,0,0,43
Tim Hardaway Jr.,NYK,26,16,4,12,518,383,123,293,42.0,51,140,36.4,86,104,82.7,7,51,58,44,32,18,2,44,546.6,0,0,-108
DeMar DeRozan,SAS,29,15,8,7,558,378,144,294,49.0,5,28,17.9,85,97,87.6,10,84,94,97,37,16,4,40,659.3,4,0,38
Paul George,OKC,28,15,10,5,531,361,122,293,41.6,48,135,35.6,69,83,83.1,17,100,117,66,45,38,11,42,702.4,5,0,113
Giannis Antetokounmpo,MIL,23,14,10,4,457,359,139,249,55.8,4,32,12.5,77,113,68.1,36,142,178,77,66,18,21,47,739.1,9,2,137
Anthony Davis,NOP,25,13,9,4,494,358,122,254,48.0,11,30,36.7,103,130,79.2,46,119,165,64,27,17,36,37,784.0,10,0,117
Stephen Curry,GSW,30,12,10,2,399,354,122,237,51.5,62,126,49.2,48,52,92.3,6,54,60,73,36,12,4,28,547.5,0,0,118
Nikola Vucevic,ORL,28,17,9,8,518,346,144,259,55.6,19,42,45.2,39,48,81.3,47,137,184,61,37,19,19,32,735.3,11,1,28
